Metabolite,Outer Weight
cpd03607_c,1.0
cpd00154_e,1.0
cpd00738_c,1.0
cpd08316_c,1.0
cpd00608_c,1.0
cpd00142_c,1.0
cpd02535_c,1.0
cpd00239_c,1.0
cpd02182_c,1.0
cpd15325_c,1.0
cpd02678_c,1.0
cpd12543_c,1.0
cpd00064_c,1.0
cpd15328_c,1.0
cpd03671_c,1.0
cpd15327_c,1.0
cpd15672_c,1.0
cpd00424_c,1.0
cpd00731_c,1.0
cpd15330_c,1.0
cpd15331_c,1.0
cpd15674_c,1.0
cpd00810_c,1.0
cpd00065_c,1.0
cpd15329_c,1.0
cpd02498_c,1.0
cpd15326_c,1.0
cpd00201_c,1.0
cpd15671_c,1.0
cpd15675_c,1.0
cpd00858_c,1.0
cpd15673_c,1.0
cpd00890_c,1.0
cpd00616_c,1.0
cpd00516_c,1.0
cpd02991_c,1.0
cpd11912_c,1.0
cpd15676_c,1.0
